,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,TransactionAmt,20163,12889,14618,19422,21668,17752.0
1,ProductCD,767,775,985,1105,1174,961.2
2,card1,20713,13971,15372,21411,24413,19176.0
3,card2,15067,11015,13279,18741,20569,15734.2
4,card3,630,598,854,1466,1926,1094.8
5,card4,658,856,1292,1952,2291,1409.8
6,card5,4501,3615,4596,6537,7244,5298.6
7,card6,977,954,1116,1427,1537,1202.2
8,addr1,15540,9916,12771,16691,18106,14604.8
9,addr2,389,213,201,301,344,289.6
10,dist1,10216,6212,7401,10564,11798,9238.2
11,P_emaildomain,3684,3183,4093,5958,6495,4682.6
12,R_emaildomain,1993,2028,2623,3601,3791,2807.2
13,C1,3899,3169,4140,5702,6461,4674.2
14,C2,3521,2755,3766,5174,6053,4253.8
15,C4,762,532,688,857,1016,771.0
16,C5,998,880,1251,1793,2183,1421.0
17,C6,3177,2341,2994,4180,5067,3551.8
18,C7,499,346,482,548,661,507.2
19,C8,999,688,851,1166,1582,1057.2
20,C9,2148,1900,2467,3414,3916,2769.0
21,C10,955,774,941,1371,1480,1104.2
22,C11,2807,1993,2772,3903,4632,3221.4
23,C12,836,583,878,1359,1766,1084.4
24,C13,6458,5223,6461,8639,9508,7257.8
25,C14,3194,2290,3038,4230,5342,3618.8
26,D1,5094,4077,5380,7326,8916,6158.6
27,D2,8932,6326,7555,9858,10928,8719.8
28,D3,5380,3095,3155,4066,4560,4051.2
29,D4,8397,6558,7799,10595,11542,8978.2
30,D5,5516,3207,3657,4657,4871,4381.6
31,D6,1405,973,1356,1728,1937,1479.8
32,D8,5090,3594,4232,5616,6215,4949.4
33,D9,3293,1930,1846,2650,2786,2501.0
34,D10,8404,5940,7332,9540,10425,8328.2
35,D11,4428,3019,3304,5951,7411,4822.6
36,D12,1213,907,1220,1639,1884,1372.6
37,D13,551,466,614,1008,1300,787.8
38,D14,1294,1022,1306,1784,2092,1499.6
39,D15,9836,7405,9389,12650,13884,10632.8
40,M2,502,437,522,640,856,591.4
41,M3,866,686,697,1005,1189,888.6
42,M4,1438,1118,1576,2369,2637,1827.6
43,M5,1341,1226,1656,2123,2421,1753.4
44,M6,1183,1218,1601,2124,2260,1677.2
45,M7,379,349,451,679,950,561.6
46,M8,441,366,412,694,926,567.8
47,M9,275,251,436,824,1154,588.0
48,V3,217,168,344,453,576,351.6
49,V4,461,335,370,746,910,564.4
50,V5,692,454,636,1103,1216,820.2
51,V6,117,111,135,351,409,224.6
52,V7,328,280,316,521,605,410.0
53,V8,21,24,63,118,213,87.8
54,V9,113,62,87,187,212,132.2
55,V10,287,132,154,286,431,258.0
56,V11,314,188,181,362,498,308.6
57,V12,636,498,653,1062,1291,828.0
58,V13,826,735,966,1193,1407,1025.4
59,V17,141,94,92,106,118,110.2
60,V19,794,608,853,1168,1306,945.8
61,V20,1115,796,1005,1311,1569,1159.2
62,V29,211,153,233,342,517,291.2
63,V30,357,247,304,462,583,390.6
64,V33,176,85,163,317,368,221.8
65,V34,239,110,197,366,432,268.8
66,V35,623,601,944,1433,1562,1032.6
67,V36,756,649,978,1383,1525,1058.2
68,V37,742,551,752,870,1002,783.4
69,V38,972,753,1049,1444,1585,1160.6
70,V40,354,232,291,414,531,364.4
71,V44,623,661,738,1102,1319,888.6
72,V45,994,847,1208,1622,1888,1311.8
73,V46,124,134,190,257,299,200.8
74,V47,478,344,426,625,659,506.4
75,V48,342,298,344,572,659,443.0
76,V49,315,341,499,656,796,521.4
77,V51,202,138,196,406,517,291.8
78,V52,365,241,388,566,727,457.4
79,V53,780,693,966,1448,1547,1086.8
80,V54,696,758,1121,1552,1751,1175.6
81,V56,599,580,679,1035,1216,821.8
82,V58,232,153,223,335,363,261.2
83,V59,61,76,91,163,215,121.2
84,V60,159,93,123,268,330,194.6
85,V61,643,706,1081,1517,1705,1130.4
86,V62,1013,984,1326,1765,2042,1426.0
87,V63,105,104,153,195,171,145.6
88,V64,119,159,186,250,332,209.2
89,V69,210,233,328,510,610,378.2
90,V70,275,301,404,581,659,444.0
91,V71,86,63,102,165,163,115.8
92,V72,131,82,101,189,242,149.0
93,V73,118,82,184,339,401,224.8
94,V74,378,253,402,638,691,472.4
95,V75,859,817,1128,1623,1915,1268.4
96,V76,1067,893,1203,1562,1865,1318.0
97,V78,1135,914,1203,1612,1979,1368.6
98,V80,171,97,117,215,263,172.6
99,V81,251,145,202,348,498,288.8
100,V82,831,832,1293,1766,2075,1359.4
101,V83,1291,1090,1610,2248,2393,1726.4
102,V84,97,43,65,108,111,84.8
103,V85,188,113,139,248,332,204.0
104,V87,1164,921,1321,1878,2182,1493.2
105,V90,392,301,390,581,676,468.0
106,V91,378,322,466,600,813,515.8
107,V92,125,111,114,131,190,134.2
108,V93,135,139,193,245,297,201.8
109,V94,77,43,116,281,390,181.4
110,V95,127,97,114,156,221,143.0
111,V96,758,547,632,787,879,720.6
112,V97,202,179,193,270,322,233.2
113,V99,455,429,610,647,772,582.6
114,V100,88,82,103,128,167,113.6
115,V126,926,571,725,1093,1273,917.6
116,V127,2202,1593,1830,2289,2446,2072.0
117,V128,1242,911,1095,1362,1500,1222.0
118,V130,1858,1358,1736,2176,2462,1918.0
119,V131,847,897,1061,1351,1495,1130.2
120,V138,16,30,22,26,19,22.6
121,V139,396,273,294,492,527,396.4
122,V140,233,201,236,334,378,276.4
123,V143,537,336,340,344,355,382.4
124,V145,435,188,236,291,322,294.4
125,V146,129,44,52,74,91,78.0
126,V147,107,61,88,95,114,93.0
127,V149,375,293,323,420,498,381.8
128,V150,436,207,206,277,322,289.6
129,V151,250,117,175,181,165,177.6
130,V152,157,223,382,468,456,337.2
131,V154,84,75,150,159,135,120.6
132,V156,387,272,332,306,354,330.2
133,V158,147,53,127,143,183,130.6
134,V159,454,155,217,243,279,269.6
135,V160,412,284,438,524,643,460.2
136,V161,95,161,185,176,222,167.8
137,V162,72,124,158,148,265,153.4
138,V163,99,113,131,200,162,141.0
139,V164,520,316,327,413,401,395.4
140,V165,687,407,540,775,780,637.8
141,V166,541,253,269,353,341,351.4
142,V167,105,56,81,102,88,86.4
143,V169,103,81,57,141,247,125.8
144,V170,251,146,200,258,306,232.2
145,V171,253,144,173,255,258,216.6
146,V172,53,44,60,79,63,59.8
147,V173,28,40,67,43,59,47.4
148,V175,76,55,66,111,110,83.6
149,V176,74,68,75,102,114,86.6
150,V177,79,60,63,88,85,75.0
151,V178,161,102,119,118,179,135.8
152,V180,108,104,104,133,183,126.4
153,V182,74,51,66,102,119,82.4
154,V184,72,47,73,82,119,78.6
155,V187,152,166,263,386,528,299.0
156,V188,110,98,153,183,166,142.0
157,V189,269,200,282,382,338,294.2
158,V195,66,36,31,39,46,43.6
159,V197,156,77,55,65,116,93.8
160,V200,110,143,191,250,220,182.8
161,V201,178,97,144,236,214,173.8
162,V202,407,220,233,311,350,304.2
163,V203,620,372,481,608,668,549.8
164,V204,431,287,302,413,441,374.8
165,V205,175,111,145,249,256,187.2
166,V206,137,111,155,191,249,168.6
167,V207,230,143,205,367,404,269.8
168,V208,205,207,198,362,513,297.0
169,V209,203,166,212,398,504,296.6
170,V210,160,128,165,308,444,241.0
171,V212,356,171,201,312,394,286.8
172,V213,240,130,183,260,271,216.8
173,V214,248,142,173,242,255,212.0
174,V215,299,263,309,416,432,343.8
175,V216,195,192,215,271,324,239.4
176,V217,167,102,147,206,226,169.6
177,V219,163,132,156,168,236,171.0
178,V220,50,60,72,197,231,122.0
179,V221,547,319,356,508,696,485.2
180,V222,487,294,366,495,549,438.2
181,V223,86,80,125,155,171,123.4
182,V224,222,162,214,276,231,221.0
183,V225,64,67,100,136,153,104.0
184,V226,44,69,138,171,175,119.4
185,V227,39,35,85,113,119,78.2
186,V228,75,67,65,147,169,104.6
187,V229,215,192,237,358,465,293.4
188,V231,82,49,108,112,134,97.0
189,V233,88,78,145,159,170,128.0
190,V234,186,245,328,402,394,311.0
191,V238,77,64,75,83,129,85.6
192,V239,81,86,101,117,173,111.6
193,V242,58,48,70,84,120,76.0
194,V243,172,145,182,265,338,220.4
195,V244,113,100,104,126,161,120.8
196,V245,400,348,301,388,433,374.0
197,V246,53,60,88,100,146,89.4
198,V247,60,29,37,27,52,41.0
199,V249,72,44,41,56,68,56.2
200,V251,230,158,222,295,377,256.4
201,V253,143,99,177,195,180,158.8
202,V256,222,160,219,275,296,234.4
203,V257,145,119,214,277,286,208.2
204,V258,325,350,438,476,508,419.4
205,V259,311,202,220,357,381,294.2
206,V261,321,288,419,576,750,470.8
207,V262,181,231,263,369,407,290.2
208,V263,449,282,392,546,538,441.4
209,V264,989,712,831,1019,1076,925.4
210,V265,686,482,624,673,680,629.0
211,V266,188,191,274,477,641,354.2
212,V267,430,339,447,684,789,537.8
213,V268,212,129,249,398,463,290.2
214,V270,230,183,267,383,418,296.2
215,V271,259,220,356,538,599,394.4
216,V272,192,191,303,403,385,294.8
217,V273,224,170,259,310,341,260.8
218,V274,400,311,437,603,657,481.6
219,V275,215,162,259,358,374,273.6
220,V276,230,151,221,330,467,279.8
221,V277,339,274,485,702,713,502.6
222,V278,182,171,279,448,463,308.6
223,V279,284,204,298,457,477,344.0
224,V280,460,299,350,496,553,431.6
225,V282,807,675,988,1523,1847,1168.0
226,V283,1006,790,1145,1393,1841,1235.0
227,V285,1013,687,1000,1254,1422,1075.2
228,V287,184,158,213,213,276,208.8
229,V288,57,81,136,284,455,202.6
230,V289,345,244,336,429,508,372.4
231,V291,586,450,583,716,884,643.8
232,V292,271,210,294,382,380,307.4
233,V294,1102,685,738,989,1050,912.8
234,V303,108,64,88,162,131,110.6
235,V304,152,67,57,88,69,86.6
236,V306,1183,852,1047,1305,1316,1140.6
237,V307,3766,2333,2871,3660,3916,3309.2
238,V308,1934,1174,1467,1925,1972,1694.4
239,V310,3459,2470,3215,4064,4158,3473.2
240,V312,1607,1089,1420,1899,2000,1603.0
241,V313,2174,2130,2787,3878,4683,3130.4
242,V314,1929,1439,1687,2470,2974,2099.8
243,V315,1838,1597,2108,2676,3397,2323.2
244,V317,2091,1241,1450,1771,1923,1695.2
245,V322,50,42,41,45,66,48.8
246,V323,186,186,216,267,264,223.8
247,V324,64,93,92,116,125,98.0
248,V326,93,79,103,113,132,104.0
249,V329,66,62,65,127,105,85.0
250,V331,114,74,106,157,143,118.8
251,V332,224,191,257,314,331,263.4
252,V333,128,118,138,221,188,158.6
253,V335,104,106,147,167,273,159.4
254,V336,54,67,108,133,120,96.4
255,V338,119,109,121,174,213,147.2
256,id_01,2097,1292,1635,2111,2411,1909.2
257,id_02,7746,5180,4776,5814,6415,5986.2
258,id_03,207,371,456,751,930,543.0
259,id_05,2788,1855,2214,3020,3178,2611.0
260,id_06,3064,2178,2168,3004,3657,2814.2
261,id_09,653,463,620,778,914,685.6
262,id_11,314,239,310,382,407,330.4
263,id_12,18,10,11,13,24,15.2
264,id_13,2009,1412,1863,2843,3271,2279.6
265,id_14,1095,783,967,1338,1468,1130.2
266,id_15,116,144,174,191,287,182.4
267,id_17,315,390,578,696,771,550.0
268,id_19,5335,3068,3508,4604,5355,4374.0
269,id_20,5317,3704,4391,6121,6837,5274.0
270,id_30,1367,1085,1285,1625,1698,1412.0
271,id_31,2585,1853,2517,3559,4163,2935.4
272,id_32,358,316,233,306,344,311.4
273,id_33,1630,951,1305,1589,1676,1430.2
274,id_36,19,10,26,30,34,23.8
275,id_37,80,117,157,220,265,167.8
276,id_38,396,420,624,870,881,638.2
277,DeviceType,150,180,241,322,382,255.0
278,DeviceInfo,1688,1304,1500,2126,2443,1812.2
279,device_name,1259,886,985,1445,1615,1238.0
280,device_version,1233,865,1102,1863,2272,1467.0
281,had_id,1,1,0,0,0,0.4
282,OS_id_30,216,179,220,304,289,241.6
283,version_id_30,1047,768,965,1304,1409,1098.6
284,browser_id_31,401,401,477,634,683,519.2
285,version_id_31,1797,1246,1645,2666,2947,2060.2
286,screen_width,945,647,789,942,932,851.0
287,screen_height,1314,1023,1138,1513,1585,1314.6
288,nulls,3080,1945,1966,2350,2436,2355.4
289,TransactionAmt_decimal,7086,4498,5264,7980,8820,6729.6
290,card1_count_full,21080,14952,17771,25231,27827,21372.2
291,Transaction_day_of_week,6777,4856,5108,7305,7870,6383.2
292,Transaction_hour,12738,7191,7818,10926,11456,10025.8
293,id_02__id_20,5211,2979,2536,3289,3425,3488.0
294,id_02__D8,3699,2189,1946,2073,2266,2434.6
295,D11__DeviceInfo,3442,2313,2611,4114,4829,3461.8
296,DeviceInfo__P_emaildomain,6098,4369,4995,7168,7875,6101.0
297,P_emaildomain__C2,9941,7207,8468,11388,12848,9970.4
298,card2__dist1,14308,9734,10485,14853,17226,13321.2
299,card1__card5,19182,13614,15526,21265,23454,18608.2
300,card2__id_20,11171,7383,8211,10989,11724,9895.6
301,card5__P_emaildomain,11502,7878,9810,13907,15387,11696.8
302,addr1__card1,20005,13281,16429,22136,24486,19267.4
303,id_36_count_full,10,16,44,66,98,46.8
304,id_01_count_dist,1302,776,1059,1497,1845,1295.8
305,id_31_count_dist,3170,2251,2804,3804,4567,3319.2
306,id_33_count_dist,1397,1207,1374,1810,1856,1528.8
307,id_36_count_dist,21,9,39,53,47,33.8
308,multiple_10_0,33,38,89,124,74,71.6
309,multiple_10_100,106,118,172,221,159,155.2
310,multiple_10_200,196,229,317,344,292,275.6
311,multiple_5_0,113,41,40,182,223,119.8
312,multiple_5_100,257,253,320,278,245,270.6
313,multiple_5_200,481,447,482,452,486,469.6
